model,scope,perturbation,level,hours,RMSE,MAE,NSE,R,bias_mm_h,n_values,delta_NSE,relative_delta_NSE_pct,relative_delta_RMSE_pct
cnn,todas,ruido,1.0,48,0.15528251124675888,0.08580784459806663,0.18108638800697208,0.5613539936058041,0.021277503352099658,870816,-0.466428444048648,-72.03363088501158,52.422338850593675
fdmlp,auxiliares,faltantes,0.05,12,0.06446783455511537,0.01796298927512302,0.8748048379323339,0.9353755671360772,0.0020141902893387052,217704,-6.571289197010444e-06,-0.000751166380289672,0.00262452150186054
fdmlp,auxiliares,faltantes,0.05,24,0.08667073261882845,0.021698737989461866,0.7607613881461383,0.872492585260696,0.0030919126097656863,435408,1.511325077785397e-05,0.0019866348711247753,-0.0031584648156256015
fdmlp,auxiliares,faltantes,0.05,48,0.10236607236640201,0.027065880104995,0.6441187732249709,0.802887589142747,0.00334931371423968,870816,4.430654868903261e-05,0.006879103423812873,-0.006224325522522938
fdmlp,auxiliares,faltantes,0.1,12,0.06444798100164785,0.017965603827165513,0.8748819364150886,0.9354146824535335,0.0019819318351307234,217704,7.052719355771231e-05,0.008061988311340428,-0.02817234745660878
fdmlp,auxiliares,faltantes,0.1,24,0.08666082590118844,0.021693695585228576,0.7608160763632952,0.8725211765394801,0.0030614812936958216,435408,6.980146793478248e-05,0.009175393983280902,-0.014588395589816177
fdmlp,auxiliares,faltantes,0.1,48,0.10235310012545996,0.027051588130494242,0.6442089649144269,0.8029402951558536,0.003321968346523641,870816,0.00013449823814504214,0.020882404924249583,-0.018895939473980633
fdmlp,auxiliares,faltantes,0.2,12,0.06437308055723605,0.01798983758710683,0.8751725879692202,0.9355660974346345,0.0019168728047783761,217704,0.0003611787476892614,0.04128646973302095,-0.1443580557357261
fdmlp,auxiliares,faltantes,0.2,24,0.08666013051019912,0.021710188729839253,0.7608199149068637,0.8725158070693465,0.002995902482334273,435408,7.364001150333976e-05,0.009679970041715794,-0.015390706825256761
fdmlp,auxiliares,faltantes,0.2,48,0.10235915222270167,0.02705338940439752,0.6441668881116573,0.8029065635007401,0.0032611979061084144,870816,9.24214353754671e-05,0.01434949530795777,-0.012984097396253147
fdmlp,auxiliares,ruido,0.1,12,0.06457021116604031,0.018078315530554893,0.8744068958145026,0.9351702845764532,0.0021291352504607098,217704,-0.0004045134070282952,-0.04624006988983601,0.16143131023241195
fdmlp,auxiliares,ruido,0.1,24,0.08669805821133095,0.021776810894758032,0.7606105098238201,0.87242249799402,0.0031973496462417905,435408,-0.00013576507154033912,-0.017846301194049674,0.028368590059342884
fdmlp,auxiliares,ruido,0.1,48,0.10237538687517338,0.027133872044457497,0.6440540054841599,0.8028621412588419,0.0034474276020485094,870816,-2.046119212195663e-05,-0.0031768364033348062,0.0028743228779785977
fdmlp,auxiliares,ruido,0.5,12,0.06758849947618673,0.021522213485222097,0.8623909518059993,0.9289992475529819,0.004366034607891882,217704,-0.01242045741553155,-1.419786857442126,4.84340573453484
fdmlp,auxiliares,ruido,0.5,24,0.08840064845959222,0.024498252022418704,0.7511158498018984,0.8674260973922935,0.005372613426466181,435408,-0.009630425093462014,-1.265918140024631,1.9927415924602363
fdmlp,auxiliares,ruido,0.5,48,0.10343527920527434,0.029370544249482423,0.6366456361422839,0.7987029307534095,0.005587446742606777,870816,-0.00742883053399801,-1.1534117432622606,1.0382040316888086
fdmlp,auxiliares,ruido,1.0,12,0.07716887393140558,0.03182680936654079,0.820615172545315,0.9090054582880562,0.012012419891937926,217704,-0.05419623667621587,-6.195190883992187,19.704500356870323
fdmlp,auxiliares,ruido,1.0,24,0.094611448538724,0.03359825201161305,0.7149154234288786,0.8496814346304452,0.012949406526246814,435408,-0.0458308514664818,-6.024459531239344,9.158486851024378
fdmlp,auxiliares,ruido,1.0,48,0.10762294579219085,0.037438471558764404,0.606628629840096,0.7830924148281824,0.01306811219983386,870816,-0.03744583683618585,-5.813898667559895,5.128822960515374
fdmlp,todas,faltantes,0.05,12,0.06428950146061582,0.017941488857467092,0.8754965180778147,0.9357433438325683,0.0019610506627907773,217704,0.0006851088562838115,0.0783150344247876,-0.2740061054156512
